name,a,age,alower,aupper,b,dec,density,densitylower,densityupper,ecc,fe,feh,felower,feupper,firstref,firsturl,k,kid,koi_star,logg,m,mass,masslower,massupper,mstar,mstarlower,mstarupper,mupper,orbref,orburl,per,r,ra,rho,rhostar,rlower,rprs,rstar,rstarlower,rstarupper,rupper,shk,source,teff,tefflower,teffupper,tt,ua,ub,udensity,ufe,ufeh,uk,ulogg,um,umass,umstar,ur,urho,urhostar,urstar,uteff,vmag,vsini,flux,uflux
116.02 ,0.24334173382977348,4.83,,,0.28,44:20:15 ,,,,,-0.12,-0.12,,,Borucki 2011,,1.95,8395660.0,116,4.407,11.17,,,,1.0,,,24.8,Marcy 2013,,43.8445,2.56,20:03:27.3 ,3.1,1.38,,0.022675999999999998,1.04,,,,,SME   ,5858.0,,,84.9336,,0.13,,0.1,0.1,1.0,0.14,5.8,,0.06,0.33,2.07,0.15,0.17,98.0,12.88,0.3,19.298377688434538,
116.03 ,0.06579940946360517,4.83,,,0.39,44:20:15 ,,,,,-0.12,-0.12,,,Borucki 2011,,0.05,8395660.0,116,4.407,0.15,,,,1.0,,,5.3,Marcy 2013,,6.16486,0.82,20:03:27.3 ,1.26,1.38,,0.007258,1.04,,,,,SME   ,5858.0,,,68.64035,,0.15,,0.1,0.1,0.9,0.14,2.8,,0.06,0.11,26.26,0.15,0.17,98.0,12.88,0.3,263.9429133806898,
116.04 ,0.1627452733808798,4.83,,,0.45,44:20:15 ,,,,,-0.12,-0.12,,,Borucki 2011,,-2.84,8395660.0,116,4.407,-6.39,,,,1.0,,,8.1,Marcy 2013,,23.9802,0.95,20:03:27.3 ,-41.0,1.38,,0.008362,1.04,,,,,SME   ,5858.0,,,80.53263000000001,,0.11,,0.1,0.1,0.9,0.14,7.0,,0.06,0.13,39.75,0.15,0.17,98.0,12.88,0.3,43.14567120490233,
122.01 ,0.10243789745445986,5.63,,,0.74,44:23:52 ,,,,,0.3,0.3,,,Borucki 2011,,3.36,8349582.0,122,4.171,13.0,,,,1.08,,,16.7,Marcy 2013,,11.5231,3.42,18:57:55.7 ,1.71,0.54,,0.022165999999999998,1.41,,,,,AS   ,5699.0,,,64.96840999999999,,0.01,,0.1,0.1,0.6,0.04,2.9,,0.08,0.09,0.37,0.02,0.04,74.0,12.35,0.7,179.30871211803534,
123.01 ,0.06892981623355739,5.73,,,0.58,40:17:05 ,,,,,-0.08,-0.08,,,Borucki 2011,,0.29,5094751.0,123,4.211,1.3,,,,1.04,,,7.3,Marcy 2013,,6.48163,2.37,19:21:34.2 ,0.3,0.65,,0.016434,1.32,,,,,AS   ,5952.0,,,55.97755,,0.02,,0.1,0.1,1.8,0.04,5.4,,0.06,0.07,2.2,0.02,0.04,75.0,12.36,1.0,412.92878773109936,
123.02 ,0.15199106334121018,5.73,,,0.16,40:17:05 ,,,,,-0.08,-0.08,,,Borucki 2011,,0.43,5094751.0,123,4.211,2.22,,,,1.04,,,21.8,Marcy 2013,,21.2227,2.52,19:21:34.2 ,0.65,0.65,,0.017432,1.32,,,,,AS   ,5952.0,,,70.5725,,0.08,,0.1,0.1,1.5,0.04,7.8,,0.06,0.07,2.3,0.02,0.04,75.0,12.36,1.0,84.9284691247162,
148.01 ,0.053202434362486034,3.14,,,0.17,40:56:56 ,,,,,0.17,0.17,,,Borucki 2011,,1.62,5735762.0,148,4.487,3.94,,,,0.88,,,13.0,Marcy 2013,,4.778,1.88,19:56:33.4 ,3.23,1.98,,0.019318000000000002,0.89,,,,,SME   ,5194.0,,,57.061130000000006,,0.11,,0.04,0.04,0.9,0.05,2.1,,0.02,0.1,1.84,0.13,0.05,43.0,13.04,0.5,182.7320116370045,
148.02 ,0.08514712069115622,3.14,,,0.38,40:56:56 ,,,,,0.17,0.17,,,Borucki 2011,,4.74,5735762.0,148,4.487,14.61,,,,0.88,,,22.7,Marcy 2013,,9.67395,2.71,19:56:33.4 ,4.01,1.98,,0.027892,0.89,,,,,SME   ,5194.0,,,58.33925,,0.05,,0.04,0.04,0.7,0.05,2.3,,0.02,0.14,0.91,0.13,0.05,43.0,13.04,0.5,71.34075665971254,
148.03 ,0.2298154808721955,3.14,,,0.2,40:56:56 ,,,,,0.17,0.17,,,Borucki 2011,,1.57,5735762.0,148,4.487,7.93,,,,0.88,,,25.0,Marcy 2013,,42.8961,2.04,19:56:33.4 ,5.08,1.98,,0.021021,0.89,,,,,SME   ,5194.0,,,79.06554,,0.11,,0.04,0.04,0.9,0.05,4.6,,0.02,0.11,3.12,0.13,0.05,43.0,13.04,0.5,9.793075071164077,
153.01 ,0.07650703277138589,6.89,,,0.56,50:56:39 ,,,,,0.05,0.05,,,Borucki 2011,,-2.72,12252424.0,153,4.636,-4.6,,,,0.75,,,3.7,Marcy 2013,,8.92507,2.19,19:11:59.4 ,-2.44,2.71,,0.029135,0.69,,,,,SME   ,4725.0,,,72.71374,,0.02,,0.04,0.04,1.5,0.03,6.2,,0.02,0.06,2.7,0.08,0.02,44.0,13.46,0.4,36.374125874851245,
