Name	KOI	M/MJ	M/ME	R/RJ	R/RE	Density	Temp**	Transit Duration	Period	Semi-Major axis	Eccentricity	Inclination***	Distance	Effective Temp	Stellar Mass	Stellar Radius	Metallicity	Right Ascension  	Declination	Kp	Last Updated
Kepler-47b	3154	> 2.7	> 860	0.265	2.98	--	450	--	49.514	0.2956	< 0.035	89.59	1,500	5636(A)	1.043(A)	0.362(B)	0.964(A)	0.3506(B)	-0.25†(A)	19 41 11.501	+46 55 13.69	15.178	2012/08/28
Kepler-47c	3154	>17	>5400	0.410	4.61	--	200-247	--	303.158	0.989	< 0.411	89.826	1,500	5636(A)	1.043(A)	0.362(B)	0.964(A)	0.3506(B)	-0.25(A)	19 41 11.501	+46 55 13.69	15.178	2012/08/28
Kepler-48b	148	> 5.94	> 1890	0.190	2.14	--	937	2.8412	4.7779803	0.053	--	--	--	5190	0.89	0.89	--	19 56 33.410	+40 56 56.47	13.04	2012/08/24
Kepler-48c	148	> 11.61	> 3690	0.279	3.14	--	740	3.5027	9.6739283	0.085	--	--	--	5190	0.89	0.89	--	19 56 33.410	+40 56 56.47	13.04	2012/08/24
Kepler-49b	248	> 0.98	> 310	0.242	2.72	--	521	2.9766	7.2037945	0.060	--	--	--	3974	0.55	0.53	--	19 29 10.702	+40 35 30.44	15.264	2012/08/24
Kepler-49c	248	> 0.72	> 230	0.227	2.55	--	454	2.8577	10.9129343	0.079	--	--	--	3974	0.55	0.53	--	19 29 10.702	+40 35 30.44	15.264	2012/08/24
Kepler-50b	262	> 0.10	> 32	0.20	2.2	--	1278	4.2439	7.8125124	0.082	--	--	--	6058	1.23	1.88	--	19 12 24.209	+50 02 01.39	10.421	2012/08/24
Kepler-50c	262	> 0.11	> 35	0.248	2.79	--	1200	2.6022	9.3761368	0.093	--	--	--	6058	1.23	1.88	--	19 12 24.209	+50 02 01.39	10.421	2012/08/24
Kepler-51b	620	> 3.23	> 1030	0.627	7.05	--	490	5.7799	45.1555023	0.249	--	--	--	5803	1.00	0.91	--	19 45 55.145	+49 56 15.65	14.669	2012/08/24
Kepler-51c	620	> 2.60	> 826	0.508	5.71	--	396	2.7849	85.3128662	0.381	--	--	--	5803	1.00	0.91	--	19 45 55.145	+49 56 15.65	14.669	2012/08/24
Kepler-52b	775	> 8.70	> 2760	0.19	2.1	--	517	2.4223	7.8773565	0.063	--	--	--	4075	0.54	0.52	--	19 06 57.129	+49 58 32.70	15.095	2012/08/24
Kepler-52c	775	> 10.41	> 3308	0.164	1.84	--	405	3.1252	16.3850021	0.103	--	--	--	4075	0.54	0.52	--	19 06 57.129	+49 58 32.70	15.095	2012/08/24
Kepler-53b	829	> 18.41	> 5851	0.257	2.89	--	658	4.4815	18.6489525	0.137	--	--	--	5858	0.98	0.89	--	19 21 50.825	+40 33 44.86	15.386	2012/08/24
Kepler-53c	829	> 15.74	> 5002	0.282	3.17	--	517	5.0162	38.5583038	0.222	--	--	--	5858	0.98	0.89	--	19 21 50.825	+40 33 44.86	15.386	2012/08/24
Kepler-54b	886	> 0.92	> 290	0.19	2.1	--	461	3.4129	8.0109434	0.063	--	--	--	3705	0.51	0.5	--	19 39 05.746	+43 03 22.68	15.847	2012/08/24
Kepler-54c	886	> 0.37	> 120	0.109	1.23	--	402	4.9738	12.0717249	0.083	--	--	--	3705	0..51	0.5	--	19 39 05.746	+43 03 22.68	15.847	2012/08/24
Kepler-55b	904	> 1.49	> 474	0.216	2.43	--	375	3.4932	27.9481449	0.153	--	--	--	4362	0.62	0.58	--	19 00 40.399	+44 01 35.26	15.791	2012/08/24
Kepler-55c	904	> 1.11	> 353	0.197	2.21	--	326	5.0617	42.1516418	0.202	--	--	--	4362	0.62	0.58	--	19 00 40.399	+44 01 35.26	15.791	2012/08/24
