NAME,MSINI,MSINIUPPER,MSINILOWER,UMSINI,R,RUPPER,RLOWER,UR,MSTAR,MSTARUPPER,MSTARLOWER,UMSTAR,RSTAR,RSTARUPPER,RSTARLOWER,URSTAR,TEFF,TEFFUPPER,TEFFLOWER,UTEFF,A,AUPPER,ALOWER,UA,PER,ECC,I,FIRSTREF,FIRSTURL,ORBREF,ORBURL,DATE
#,mearth,mearth,mearth,mearth,rearth,rearth,rearth,rearth,msun,msun,msun,msun,rsun,rsun,rsun,rsun,k,k,k,k,au,au,au,au,day,,deg,,,,,
HAT-P-28 b,199.41435065782863,11.919584885005522,11.919584885005522,11.919584885005522,13.58528464589768,1.0928756212665214,1.0928756212665214,1.0928756212665214,1.025,0.047,0.047,0.047,1.103,0.091,0.069,0.08,5680,90,90,90,0.0433674,0.00072279,0.00072279,0.00072279,3.257215,0.051,88,Buchhave 2011,http://adsabs.harvard.edu/abs/2011ApJ...733..116B,Buchhave 2011,http://adsabs.harvard.edu/abs/2011ApJ...733..116B,2011
HAT-P-29 b,247.26323059154362,20.403667545445415,20.403667545445415,20.403667545445415,12.408341669149118,1.2217788996723162,1.2217788996723162,1.2217788996723162,1.207,0.046,0.046,0.046,1.224,0.133,0.07499999999999998,0.104,6087,88,88,88,0.0666842,0.0011114,0.0011114,0.0011114,5.723186,0.095,87.1,Buchhave 2011,http://adsabs.harvard.edu/abs/2011ApJ...733..116B,Buchhave 2011,http://adsabs.harvard.edu/abs/2011ApJ...733..116B,2011
HAT-P-3 b,189.10755794918148,7.895041352817112,7.895041352817112,7.895041352817112,10.076873677113873,0.48198617143036326,0.5492400558159953,0.5156131136231793,0.928,0.044,0.054000000000000006,0.049,0.833,0.034,0.044,0.039,5185,80,80,80,0.0388252,0.000683346,0.000683346,0.000683346,2.899703,0,87.24,Torres 2007,http://adsabs.harvard.edu/abs/2007ApJ...666L.121T,Torres 2008,http://adsabs.harvard.edu/abs/2008ApJ...677.1324T,2007
HAT-P-30 b,224.5873331826855,11.262721512503765,11.262721512503765,11.262721512503765,15.02003417945783,0.7285837475110142,0.7285837475110142,0.7285837475110142,1.242,0.041,0.041,0.041,1.215,0.051,0.051,0.051,6304,88,88,88,0.0419042,0.000698404,0.000698404,0.000698404,2.810595,0.035,83.6,Johnson 2011,http://adsabs.harvard.edu/abs/2011ApJ...735...24J,Johnson 2011,http://adsabs.harvard.edu/abs/2011ApJ...735...24J,2011
HAT-P-31 b,688.4765908406146,28.835342246660637,28.835342246660637,28.835342246660637,11.993609382104388,5.380310750850566,3.5868738339003783,4.483592292375472,1.218,0.089,0.063,0.076,1.36,0.27,0.18,0.225,6065,100,100,100,0.0611921,0.00127274,0.00127274,0.00127274,5.005425,0.245,87.1,Kipping 2011,http://adsabs.harvard.edu/abs/2011AJ....142...95K,Kipping 2011,http://adsabs.harvard.edu/abs/2011AJ....142...95K,2011
HAT-P-32 b,302.1040759766998,53.86896218740584,53.86896218740584,53.86896218740584,22.832693748922093,1.1096890923629295,1.1096890923629295,1.1096890923629295,1.176,0.043,0.07,0.0565,1.387,0.067,0.067,0.067,6001,88,88,88,0.0344203,0.000573671,0.000573671,0.000573671,2.150009,0.163,88.7,Hartman 2011,http://adsabs.harvard.edu/abs/2011ApJ...742...59H,Hartman 2011,http://adsabs.harvard.edu/abs/2011ApJ...742...59H,2011
HAT-P-33 b,243.15195490609622,37.06377322486693,37.06377322486693,37.06377322486693,20.47880779542497,3.250604411972217,3.250604411972217,3.250604411972217,1.403,0.096,0.096,0.096,1.777,0.028,0.028,0.028,6401,88,88,88,0.0502683,0.00114653,0.00114653,0.00114653,3.474474,0.148,86.7,Hartman 2011,http://adsabs.harvard.edu/abs/2011ApJ...742...59H,Hartman 2011,http://adsabs.harvard.edu/abs/2011ApJ...742...59H,2011
HAT-P-34 b,1058.2435055739682,76.83820432861305,76.83820432861305,76.83820432861305,13.417149934933601,1.434749533560151,1.0312262272463586,1.2329878804032548,1.392,0.047,0.047,0.047,1.197,0.128,0.092,0.11,6442,88,88,88,0.0677467,0.00112911,0.00112911,0.00112911,5.452654,0.441,87.1,Bakos 2012,http://adsabs.harvard.edu/abs/2012AJ....144...19B,Bakos 2012,http://adsabs.harvard.edu/abs/2012AJ....144...19B,2012
HAT-P-35 b,334.6767826654615,12.715620151652102,12.715620151652102,12.715620151652102,14.930362333610322,1.0984801116319907,1.0984801116319907,1.0984801116319907,1.236,0.048,0.048,0.048,1.435,0.084,0.084,0.084,6096,88,88,88,0.0497734,0.000829557,0.000829557,0.000829557,3.646706,0.025,87.3,Bakos 2012,http://adsabs.harvard.edu/abs/2012AJ....144...19B,Bakos 2012,http://adsabs.harvard.edu/abs/2012AJ....144...19B,2012
HAT-P-36 b,583.1140278196244,31.896075123029025,31.896075123029025,31.896075123029025,14.168151643906493,0.7958376318966462,0.7958376318966462,0.7958376318966462,1.022,0.049,0.049,0.049,1.096,0.056,0.056,0.056,5560,100,100,100,0.0238229,0.000397048,0.000397048,0.000397048,1.327347,0.063,86,Bakos 2012,http://adsabs.harvard.edu/abs/2012AJ....144...19B,Bakos 2012,http://adsabs.harvard.edu/abs/2012AJ....144...19B,2012
