  KOI    <rhostar>      T0            P        r/R*     b       K    ecosw  esinw    Mp     Rp     i       a/R*      a       Tdepth   rhop loggp  Teq
          gcm3      BJD-2454900      Days                      m/s                   Me     Re    deg               AU        ppm     gcm3  cgs    K
-----------------------------------------------------------------------------------------------------------------------------------------------------
 321.02  1.122301   65.374382    4.62332439 0.007261 0.3611    1.00  0.000  0.000    2.71  0.847 88.148   10.824   0.055560    63.68 24.39 3.597 1197.
 u        0.019668    0.002990    0.00002143 0.000195 0.0642    0.65  0.000  0.000    1.76  0.028  0.334    0.063   0.000682     3.01 16.13 0.249   85.
 321.10  1.122301   55.612339   28.09616280 0.000000 0.0000    4.38  0.477  0.058   21.81  0.000  0.000   36.065   0.185133     0.00  0.00 0.000  656.
 u        0.019668    2.245260    0.06910600 0.000000 0.0000    0.89  0.152  0.176    4.41  0.000  0.000    0.228   0.002307     0.00  0.00 0.000   47.
1442.01  1.382068   67.131622    0.66930956 0.010414 0.2481    0.05  0.000  0.000    0.06  1.073 85.859    3.199   0.015098   129.92  0.29 2.888 2140.
 u        0.158776    0.000637    0.00000064 0.000143 0.1513    0.92  0.000  0.000    1.22  0.019  2.530    0.124   0.000098     2.07  5.70 0.373  151.
1442.10  1.382068 1115.907959    0.00000000 0.000000 0.0000  126.40  0.000  0.000 2187.96  0.000  0.000  548.660   2.589294     0.00  0.00 0.000  163.
 u        0.158776   12.972366    0.00000000 0.000000 0.0000    2.64  0.000  0.000   48.23  0.000  0.000   21.284   0.016771     0.00  0.00 0.000   11.
1612.01  0.822165   65.679283    2.46502399 0.006136 0.9175    0.20  0.000  0.000    0.48  0.820 81.792    6.416   0.036633    30.16  4.42 3.524 1740.
 u        0.009784    0.001560    0.00000616 0.000192 0.0081    1.32  0.000  0.000    3.23  0.031  0.261    0.025   0.000775     1.55 29.82 0.376  126.
1925.01  1.810586  112.081512   68.95839691 0.012223 0.9033    0.45  0.000  0.000    2.69  1.191 89.327   76.921   0.319846   120.92  8.88 3.589  450.
 u        0.003203    0.002182    0.00023466 0.000235 0.0051    1.04  0.000  0.000    6.19  0.033  0.020    0.045   0.006535     4.01 20.60 0.358   33.


[e=float models]
  KOI    <rhostar>      T0            P        r/R*     b       K    ecosw  esinw    Mp     Rp     i       a/R*      a       Tdepth   rhop loggp  Teq
          gcm3      BJD-2454900      Days                      m/s                   Me     Re    deg               AU        ppm     gcm3  cgs    K
-----------------------------------------------------------------------------------------------------------------------------------------------------
  69.01  1.640039   67.926422    4.72673845 0.015346 0.4985    1.72  0.376 -0.212    4.28  1.545 87.708   12.465   0.053395   264.67  6.30 3.267 1160.
         0.010114    0.000597    0.00000209 0.000285 0.0889    1.04  0.140  0.094    2.58  0.044  0.418    0.026   0.001103     2.06  3.88 0.238   84.
  69.10  1.640039     50948.0  10782.888539 0.000000 0.0000  581.83  0.000  0.000 44841.0  0.000  0.000  10027.0  42.948944     0.00  0.00 0.000   41.
         0.010114 3169.501465    0.00000000 0.000000 0.0000   20.94  0.000  0.000 1867.86  0.000  0.000   20.603   0.886069     0.00  0.00 0.000    3.
 122.01  0.538354   64.968376   11.52307224 0.020320 0.3331    4.24 -0.142  0.330   18.88  3.149 88.774   15.576   0.102575   501.09  2.78 3.194 1043.
         0.018302    0.000726    0.00001238 0.000195 0.2135    0.85  0.180  0.044    3.80  0.094  0.788    0.176   0.002368     4.09  0.64 0.094   76.


---------
KOI NOTES
---------

-----
KOI41
-----

     Parameter       Median       Stdev       +1 sig       -1 sig       +2 sig       -2 sig       +3 sig       -3 sig     
 -------------------------------------------------------------------------------------------------------------------------
M* (Msun)            1.080        0.062        0.055       -0.074        0.117       -0.141        0.180       -0.207
R* (Rsun)            1.490        0.034        0.030       -0.041        0.070       -0.071        0.103       -0.110
Z                    0.0200       0.0020       0.0017      -0.0024       0.0037      -0.0045       0.0060      -0.0062
Teff (K)          5825.          74.          63.         -91.         148.        -153.         224.        -233.
L (Lsun)             1.000        0.099        0.086       -0.118        0.197       -0.205        0.296       -0.312
Age (Gyr)            4.999        0.099        0.084       -0.123        0.197       -0.208        0.299       -0.314
log(g) (cgs)         4.124        0.032        0.031       -0.035        0.063       -0.069        0.092       -0.110
rhostar (g/cm^3)     0.457        0.012        0.010       -0.015        0.023       -0.029        0.037       -0.039

gamma (m/s)          1.12         0.69         0.52        -0.91         1.31        -1.56         2.26        -2.31
Phot zpt (ppm)      -0.36         0.68         0.57        -0.88         1.29        -1.48         2.11        -2.15

T0 (BJD-2454900)    55.9471       0.0012       0.0013      -0.0010       0.0024      -0.0024       0.0039      -0.0034
Period (days)       12.815880     0.000023     0.000023    -0.000025     0.000051    -0.000050     0.000075    -0.000071
b                    0.051        0.041        0.025       -0.051        0.093       -0.051        0.142       -0.051
Rp/R*                0.013550     0.000068     0.000064    -0.000074     0.000130    -0.000151     0.000206    -0.000213
K (m/s)              0.18         0.83         0.72        -1.01         1.52        -1.80         2.53        -2.73
Mp (Mearth)          0.9          4.0          3.4         -4.8          7.6         -8.7         10.8        -15.1
Rp (Rearth)          2.204        0.052        0.045       -0.065        0.096       -0.122        0.160       -0.161
i (deg)             89.817        0.146        0.183       -0.092        0.183       -0.329        0.183       -0.513
a/R*                15.672        0.080        0.073       -0.093        0.157       -0.198        0.253       -0.305
a (AU)               0.1100       0.0021       0.0021      -0.0023       0.0041      -0.0045       0.0061      -0.0069
Tdepth (ppm)       223.4          2.2          2.2         -2.2          4.3         -4.9          7.2         -7.9
rho_p (g/cm^3)       0.4          1.6          1.4         -2.0          3.1         -3.6          5.0         -5.4
